"project"	"Percentage_mobile"	"Total_pageviews"
"az.wiktionary"	0.232142857142857	56000
"bi.wikipedia"	0.0952380952380952	84000
"sv.wikibooks"	0.442622950819672	122000
"sv.wikiquote"	0.371794871794872	78000
"ms.wiktionary"	0.26984126984127	63000
"sl.wikisource"	0.25668449197861	187000
"sl.wikiversity"	0.131578947368421	38000
"tyv.wikipedia"	0.1	70000
"sk.wikibooks"	0.384615384615385	39000
"sk.wikiquote"	0.211206896551724	232000
"km.wiktionary"	1	46000
"my.wiktionary"	0.0416666666666667	96000
"ten.wikipedia"	0.0952380952380952	42000
"th.wikiquote"	0.302325581395349	43000
"th.wikisource"	0.516431924882629	213000
"tr.wikibooks"	0.275	160000
"tr.wikisource"	0.329842931937173	191000
"sw.wiktionary"	0.333333333333333	84000
"uk.wikibooks"	0.254237288135593	59000
"uk.wikiquote"	0.294520547945205	146000
"af.wiktionary"	0.275229357798165	109000
"an.wiktionary"	0.208333333333333	24000
"ar.wikinews"	0.195121951219512	41000
"bs.wiktionary"	0.32258064516129	31000
"chy.wikipedia"	0.153846153846154	39000
"co.wikibooks"	0.0434782608695652	23000
"de.wikiversity"	0.224299065420561	321000
"dsb.wikipedia"	0.0714285714285714	154000
"dv.wikipedia"	0.206703910614525	179000
"eml.wikipedia"	0.105590062111801	161000
"eo.wikibooks"	0.36	25000
"eo.wiktionary"	0.454545454545455	99000
"et.wikiquote"	0.216216216216216	37000
"eu.wiktionary"	0.39047619047619	105000
"fi.wikisource"	0.381578947368421	76000
"fj.wiktionary"	0.4	40000
"fy.wiktionary"	0.428571428571429	28000
"ja.wikiversity"	0.390243902439024	41000
"ka.wiktionary"	0.375	40000
"kab.wikipedia"	0.0761904761904762	105000
"kl.wikipedia"	0.114503816793893	131000
"kn.wiktionary"	0.513274336283186	113000
"ko.wikiquote"	0.297297297297297	74000
"la.wikiquote"	0.157894736842105	38000
"la.wikisource"	0.33	100000
"lg.wikipedia"	0.153846153846154	39000
"li.wikiquote"	0.173913043478261	23000
"lo.wiktionary"	0.32	50000
"lt.wikibooks"	0.162790697674419	43000
"mr.wikibooks"	0.227272727272727	22000
"myv.wikipedia"	0.107438016528926	121000
"no.wikibooks"	0.25	44000
"no.wikinews"	0.173913043478261	23000
"nrm.wikipedia"	1	174000
"oc.wiktionary"	0.511111111111111	90000
"os.wikipedia"	0.0923076923076923	260000
"pag.wikipedia"	0.0967741935483871	93000
"pfl.wikipedia"	0.0573770491803279	122000
