"project"	"R2"	"Adjusted_R2"	"Last_Pageviews"
"cs.wikiversity"	0.0191091710681392	-0.0421965057401021	102000
"cs.wiktionary"	0.00732990532405695	-0.0547119755931895	704000
"jv.wikipedia"	0.00202241786380604	-0.0603511810197059	1225000
"kg.wikipedia"	0.0215291602006458	-0.0396252672868138	56000
"kw.wikipedia"	0.169828341309006	0.117942612640819	120000
"lij.wikipedia"	0.000708906129485962	-0.0617467872374211	141000
"tg.wikipedia"	0.00741358619967951	-0.0546230646628405	476000
"ace.wikipedia"	0.270421992081327	0.22482336658641	1227000
"ar.wikiquote"	0.00523414958825485	-0.0569387160624792	207000
"ba.wikipedia"	0.0063030458177422	-0.0558030138186489	497000
"bpy.wikipedia"	0.000158461481382349	-0.0623316346760312	582000
"br.wiktionary"	0.0271449631380655	-0.0336584766658055	63000
"ca.wikiquote"	0.00403666723020175	-0.0582110410679106	203000
"ca.wiktionary"	0.0512458223945237	-0.00805131370581869	328000
"ce.wikipedia"	0.10098440025535	0.0447959252713089	282000
"ckb.wikipedia"	0.164198243827858	0.1119606340671	496000
"crh.wikipedia"	0.140589040313175	0.0868758553327487	135000
"cs.wikinews"	0.00163843841218269	-0.060759159187056	34000
"cv.wikipedia"	0.0545980821969734	-0.00448953766571569	257000
"cy.wiktionary"	0.0394085176644756	-0.0206284499814946	79000
"da.wikiquote"	0.2246869003499	0.176229831621769	64000
"da.wiktionary"	0.0221532445329059	-0.0389621776837874	150000
"dv.wikipedia"	0.187250900374961	0.136454081648396	179000
"el.wikisource"	0.0175151094311175	-0.0438901962294376	142000
"el.wikiversity"	0.0453263636598102	-0.0143407386114516	109000
"eo.wiktionary"	0.00218440381871373	-0.0601790709426167	99000
"et.wiktionary"	0.196789704235668	0.146589060750397	241000
"fi.wikisource"	0.0605497682221091	0.00183412873599098	76000
"fi.wiktionary"	0.00191138587567998	-0.06046915250709	1227000
"fiu-vro.wikipedia"	6.59107787842786e-06	-0.0624929969797541	167000
"fo.wikipedia"	0.116030857422133	0.0607827860110162	293000
"fr.wikinews"	0.107454559745019	0.0516704697290823	223000
"fy.wiktionary"	0.0550420141112815	-0.0040178600067633	28000
"ga.wikipedia"	0.044692099087916	-0.0150146447190893	686000
"glk.wikipedia"	0.0233253866671212	-0.0377167766661837	109000
"gv.wikipedia"	0.0623409330862841	0.00373724140417686	320000
"he.wikibooks"	7.11868229515033e-05	-0.0624243640006141	382000
"he.wikiquote"	0.231205030292042	0.183155344685295	218000
"he.wikisource"	0.123103256010183	0.0682972095108189	796000
"he.wiktionary"	0.291837396261194	0.247577233527519	460000
"hr.wikiquote"	0.345287271263155	0.304367725717102	63000
"hr.wiktionary"	0.00576581800009901	-0.0563738183748947	149000
"ht.wikipedia"	0.0400140628870858	-0.0199850581824714	699000
"hu.wikibooks"	0.337624965640569	0.296226525993105	165000
"hu.wikisource"	0.00867127398145243	-0.0532867713947067	77000
"id.wiktionary"	0.238806083522464	0.191231463742618	804000
"ilo.wikipedia"	0.0418533723520222	-0.0180307918759763	464000
"ja.wikiquote"	0.0102645655066886	-0.0515938991491434	219000
"ja.wikisource"	0.222165221960536	0.173550548333069	236000
"ja.wikiversity"	0.00200399918806561	-0.0603707508626803	41000
"ka.wikiquote"	0.0556667356750167	-0.00335409334529468	67000
"ka.wiktionary"	0.155684217796334	0.102914481408605	40000
"kk.wikibooks"	0.0293933944122479	-0.0312695184369867	1e+05
"kk.wiktionary"	0.0453849899842053	-0.0142784481417817	27000
"kl.wikipedia"	0.136870695528928	0.0829251139994855	131000
"kn.wiktionary"	0.115993637857401	0.0607432402234884	113000
"ko.wikiquote"	0.00917278079982069	-0.0527539204001906	74000
"ko.wikiversity"	0.0833630206583299	0.0260732094494756	22000
"la.wiktionary"	0.00969374019192766	-0.0522004010460768	177000
"li.wiktionary"	0.00127777829042236	-0.0611423605664261	106000
"lt.wiktionary"	0.204040762761416	0.154293310434004	360000
"mg.wiktionary"	0.147640801527261	0.0943683516227148	532000
"mhr.wikipedia"	0.0283390163924976	-0.0323897950829712	175000
"min.wikipedia"	0.0260440814232688	-0.034828163487777	310000
"ms.wikibooks"	0.0634302271632915	0.00489461636099719	39000
"my.wiktionary"	0.000224895717628396	-0.0622610483000199	96000
"nds-nl.wikipedia"	0.00974757684153666	-0.0521431996058672	336000
"new.wikipedia"	0.0303222910851564	-0.0302825657220214	262000
"nl.wikisource"	0.10558590284814	0.0496850217761489	67000
"nl.wikivoyage"	0.00539385934563027	-0.0567690244452679	122000
"no.wiktionary"	0.0297865697607359	-0.0308517696292181	319000
"nv.wikipedia"	0.0505933977082806	-0.00874451493495187	134000
"os.wikipedia"	0.0760166360594327	0.0182676758131471	260000
"pi.wikipedia"	0.115455827317665	0.0601718165250188	83000
"pl.wikinews"	0.0114379836319442	-0.0503471423910593	338000
"pl.wikiquote"	0.0911078379896122	0.034302077863963	2209000
"pt.wikinews"	0.000402984524621237	-0.0620718289425899	272000
"ro.wikisource"	0.114757734496879	0.0594300929029339	313000
"rue.wikipedia"	0.252542452891246	0.205826356196949	218000
"scn.wiktionary"	0.000836449332285937	-0.0616112725844462	96000
"si.wikipedia"	0.0934712325929602	0.0368131846300203	482000
"sk.wikiquote"	0.15295790480794	0.100017773858436	232000
"sl.wikisource"	0.0158134784628027	-0.0456981791332722	187000
"sl.wiktionary"	0.0875736111305352	0.0305469618261937	53000
"sq.wikibooks"	0.257497258285648	0.211090836928501	78000
"sr.wikinews"	0.1464285721148	0.0930803578719749	70000
"stq.wikipedia"	0.000275858354014199	-0.0622069004988599	188000
"sw.wiktionary"	0.562743154372856	0.53541460152116	84000
"ta.wiktionary"	0.00850924981608524	-0.0534589220704094	351000
"te.wiktionary"	0.0339108227431007	-0.0264697508354554	165000
"tk.wikipedia"	0.00077758957416314	-0.0616738110774515	280000
"tr.wikibooks"	0.146502993069877	0.0931594301367444	160000
"uk.wikiquote"	0.293907301440961	0.249776507781021	146000
"vi.wiktionary"	0.0404205133836431	-0.0195532045298792	1581000
"wa.wiktionary"	0.0111338583525847	-0.0506702755003787	22000
"xal.wikipedia"	0.27710274116105	0.231921662483616	162000
"yi.wikipedia"	0.182333047065719	0.131228862507326	451000
"zh.wikinews"	0.206115360728161	0.156497570773672	504000
"da.wikibooks"	0.0225271729480836	-0.0385648787426611	49000
"da.wikisource"	0.320305184020704	0.277824258021998	78000
"ku.wikipedia"	0.0152488335921507	-0.0462981143083399	1055000
"no.wikiquote"	0.000381584624584618	-0.0620945663363788	43000
"ar.wikibooks"	0.132903983620844	0.0787104825971469	272000
"ar.wikiversity"	0.00248938926636801	-0.0598550239044839	88000
"et.wikiquote"	0.00526364796547135	-0.0569073740366868	37000
"ar.wiktionary"	4.85754456696851e-05	-0.0624483885889759	225000
"ca.wikisource"	0.031824839118481	-0.0286861084366139	128000
"it.wikiversity"	0.0508558343213826	-0.00846567603353088	379000
"lad.wikipedia"	0.00585111299088525	-0.0562831924471845	141000
"nah.wikipedia"	0.0922391328666352	0.0355040786707999	261000
"tr.wikiquote"	0.0264481297948089	-0.0343988620930156	827000
"ky.wikipedia"	0.21808678099365	0.169217204805753	597000
"so.wikipedia"	0.223796167783093	0.175283428269536	431000
"fi.wikibooks"	0.0564712189856267	-0.00249932982777157	175000
"fi.wikiquote"	0.109791225540865	0.0541531771371693	131000
"an.wiktionary"	0.0740761005502752	0.0162058568346675	24000
"fr.wikivoyage"	0.00153239993144157	-0.0608718250728433	281000
"hu.wikiquote"	0.00282661705027901	-0.0594967193840785	175000
"hu.wiktionary"	0.0674012888614072	0.00911386941524517	581000
"id.wikiquote"	0.338869791019772	0.297549152958508	340000
"it.wikivoyage"	0.365838209023447	0.326203097087412	473000
"jbo.wikipedia"	0.0881342044818552	0.0311425922619711	89000
"pl.wikivoyage"	0.342036628772522	0.300913918070805	170000
"tr.wikisource"	0.245265125598053	0.198094195947931	191000
"vi.wikiquote"	0.00173390350325377	-0.0606577275277929	293000
"av.wikipedia"	0.00224237880545348	-0.0601174725192055	186000
"dsb.wikipedia"	0.000383572505273843	-0.0620924542131465	154000
"ko.wikinews"	0.0164080315236049	-0.0450664665061697	27000
"sa.wikipedia"	0.37933675473733	0.340545301908413	367000
"wo.wikipedia"	0.0225070293549628	-0.0385862813103521	85000
"el.wikibooks"	0.0372833166848201	-0.0228864760223786	56000
"el.wikiquote"	0.142499133855766	0.0889053297217511	190000
"id.wikibooks"	0.22580277611608	0.177415449623335	1735000
"jv.wiktionary"	0.0620502933844054	0.00342843672093074	39000
"map-bms.wikipedia"	0.0645286661506271	0.00606170778504134	363000
"he.wikivoyage"	0.00102676493331372	-0.0614090622583541	58000
"ie.wikipedia"	0.11455012943678	0.0592095125265786	104000
"af.wiktionary"	0.0218317084596052	-0.0393038097616694	109000
"as.wikipedia"	0.318794698952121	0.276219367636629	501000
"hi.wikibooks"	0.438328522211661	0.40322405484989	50000
"ml.wikisource"	0.020062734181173	-0.0411833449325036	144000
"mr.wikipedia"	0.00354762499177787	-0.058730648446236	2061000
"sa.wiktionary"	8.35979052222585e-06	-0.06249111772257	30000
"sr.wikisource"	0.0553136574448246	-0.00372923896487376	150000
"fa.wiktionary"	0.0458523699619687	-0.0137818569154082	169000
"is.wikibooks"	0.0349261904062381	-0.025390922693372	21000
"is.wiktionary"	0.0731888782194319	0.0152631831081463	131000
"la.wikisource"	0.0547493366760719	-0.0043288297816737	1e+05
