"type"	"N"
"mobile"	22
"mobile"	2
"desktop"	34
"desktop"	10
"mobile"	17
"mobile"	26
"desktop"	2
"desktop"	5
"desktop"	5
"mobile"	2
"mobile"	2
"desktop"	10
"desktop"	59
"mobile"	3
"desktop"	2
"mobile"	136
"mobile"	5
"desktop"	36
"mobile"	91
"mobile"	4
"mobile"	3
"mobile"	2
"desktop"	6
"mobile"	21
"desktop"	31
"desktop"	27
"desktop"	3
"desktop"	1
"mobile"	3
"desktop"	1
"desktop"	1
"mobile"	1
"mobile"	2
"desktop"	1
"mobile"	36
"mobile"	1
"desktop"	79
"mobile"	1
"desktop"	77
"mobile"	39
"desktop"	3
"mobile"	29
"mobile"	13
"mobile"	7
"mobile"	1
"mobile"	1
"mobile"	1
"mobile"	9
"mobile"	1
"mobile"	1
"mobile"	1
"mobile"	26
"mobile"	8
"desktop"	2
"mobile"	1
"desktop"	2
"desktop"	5
"mobile"	4
"mobile"	13
"mobile"	3
"mobile"	1
"mobile"	3
"desktop"	5
"desktop"	234
"desktop"	1
"mobile"	1
"mobile"	2
"desktop"	1
"mobile"	1
"mobile"	9
"mobile"	3
"desktop"	88
"mobile"	4
"desktop"	17
"mobile"	38
"mobile"	24
"desktop"	2
"mobile"	4
"mobile"	4
"desktop"	18
"mobile"	6
"mobile"	117
"mobile"	102
"desktop"	5
"mobile"	12
"mobile"	1
"desktop"	19
"mobile"	1
"desktop"	35
"mobile"	7
"mobile"	2
"desktop"	18
"desktop"	8
"mobile"	1
"mobile"	37
"desktop"	4
"mobile"	4
"desktop"	6
"mobile"	8
"desktop"	179
"desktop"	6
"mobile"	4
"mobile"	11
"desktop"	126
"mobile"	3
"desktop"	2
"mobile"	4
"desktop"	3
"mobile"	8
"desktop"	11
"mobile"	2
"desktop"	1
"mobile"	12
"mobile"	3
"desktop"	1
"mobile"	29
"desktop"	18
"desktop"	2
"desktop"	2
"mobile"	11
"desktop"	6
"mobile"	2
"mobile"	8
"desktop"	1
"desktop"	1
"mobile"	4
"desktop"	7
"mobile"	3
"desktop"	4
"desktop"	141
"desktop"	1
"mobile"	1
"desktop"	12
"desktop"	2
"mobile"	17
"mobile"	1
"desktop"	2
"mobile"	2
"mobile"	26
"mobile"	17
"mobile"	4
"mobile"	6
"desktop"	455
"mobile"	9
"desktop"	16
"desktop"	7
"mobile"	10
"mobile"	38
"mobile"	13
"desktop"	7
"mobile"	1
"desktop"	3
"mobile"	36
"desktop"	2
"mobile"	33
"mobile"	4
"mobile"	21
"mobile"	21
"mobile"	94
"desktop"	4
"mobile"	6
"desktop"	27
"mobile"	26
"mobile"	1
"mobile"	5
"mobile"	5
"mobile"	1
"mobile"	2
"desktop"	15
"desktop"	1
"desktop"	97
"mobile"	25
"desktop"	1
"mobile"	16
"desktop"	1
"mobile"	6
"mobile"	17
"desktop"	27
"mobile"	13
"mobile"	1
"mobile"	2
"desktop"	30
"mobile"	1
"mobile"	2
"desktop"	7
"mobile"	2
"mobile"	3
"mobile"	25
"mobile"	30
"mobile"	16
"desktop"	1
"mobile"	1
"desktop"	39
"mobile"	2
"mobile"	3
"desktop"	27
"desktop"	125
"mobile"	1
"mobile"	45
"mobile"	1
"mobile"	2
"mobile"	72
"mobile"	250
"desktop"	33
"mobile"	1
"mobile"	1
"mobile"	2
"mobile"	2
"mobile"	22
"mobile"	3
"mobile"	1
"mobile"	3
"desktop"	2
"mobile"	19
"mobile"	1
"mobile"	1
"desktop"	24
"desktop"	11
"desktop"	2
"desktop"	3
"mobile"	11
"mobile"	2
"mobile"	3
"desktop"	1
